Date,Ticker,Open,High,Low,Close,Volume,50_Day_SMA,200_Day_SMA,Daily_Return_%
18-03-2021,AAPL,119.68,119.98,117.19,117.4,121229700,,,
19-03-2021,AAPL,116.78,118.27,116.57,116.87,185549500,,,-0.45
22-03-2021,AAPL,117.2,120.65,117.13,120.18,111912300,,,2.83
23-03-2021,AAPL,120.12,121.01,118.96,119.35,95467100,,,-0.69
24-03-2021,AAPL,119.63,119.7,116.95,116.97,88530500,,,-2
25-03-2021,AAPL,116.43,118.5,115.91,117.45,98844700,,,0.42
26-03-2021,AAPL,117.22,118.32,115.83,118.06,94071200,,,0.51
29-03-2021,AAPL,118.49,119.39,117.59,118.23,80819200,,,0.15
30-03-2021,AAPL,116.99,117.27,115.77,116.78,85671900,,,-1.23
31-03-2021,AAPL,118.49,120.31,118,118.97,118323800,,,1.88
01-04-2021,AAPL,120.44,120.95,119.3,119.8,75089100,,,0.7
05-04-2021,AAPL,120.65,122.88,119.87,122.63,88651200,,,2.36
06-04-2021,AAPL,123.21,123.82,122.38,122.93,80171300,,,0.25
07-04-2021,AAPL,122.56,124.59,121.89,124.57,83466700,,,1.34
08-04-2021,AAPL,125.6,127,125.18,126.97,88844600,,,1.92
09-04-2021,AAPL,126.42,129.58,126.1,129.54,106686700,,,2.03
12-04-2021,AAPL,129.07,129.4,127.23,127.83,91420000,,,-1.32
13-04-2021,AAPL,129,131.16,128.5,130.93,91266500,,,2.43
14-04-2021,AAPL,131.43,131.49,128.24,128.6,87222800,,,-1.79
15-04-2021,AAPL,130.34,131.49,130.16,131,89347100,,,1.87
16-04-2021,AAPL,130.81,131.17,129.81,130.67,84922400,,,-0.25
19-04-2021,AAPL,130.04,131.95,129.87,131.33,94264200,,,0.51
20-04-2021,AAPL,131.51,132.01,128.38,129.65,94812300,,,-1.28
21-04-2021,AAPL,128.92,130.27,127.89,130.03,68847100,,,0.29
22-04-2021,AAPL,129.58,130.66,127.99,128.51,84566500,,,-1.17
23-04-2021,AAPL,128.72,131.61,128.72,130.83,78657500,,,1.8
26-04-2021,AAPL,131.32,131.55,130.09,131.22,66905100,,,0.3
27-04-2021,AAPL,131.5,131.89,130.62,130.9,66015800,,,-0.24
28-04-2021,AAPL,130.82,131.51,129.62,130.11,107760100,,,-0.6
29-04-2021,AAPL,132.92,133.51,129.01,130.01,151101000,,,-0.07
30-04-2021,AAPL,128.35,130.09,127.66,128.04,109839500,,,-1.51
03-05-2021,AAPL,128.61,130.58,128.4,129.09,75135100,,,0.82
04-05-2021,AAPL,127.78,128.07,123.41,124.53,137564700,,,-3.54
05-05-2021,AAPL,125.84,127.06,124.64,124.77,84000900,,,0.2
06-05-2021,AAPL,124.56,126.38,123.82,126.37,78128300,,,1.28
07-05-2021,AAPL,127.66,128.06,126.33,127.04,78973300,,,0.53
10-05-2021,AAPL,126.26,126.39,123.72,123.76,88071200,,,-2.58
11-05-2021,AAPL,120.49,123.2,119.78,122.84,126142800,,,-0.74
12-05-2021,AAPL,120.4,121.61,119.27,119.78,112172300,,,-2.49
13-05-2021,AAPL,121.55,123.08,121.23,121.93,105861300,,,1.79
14-05-2021,AAPL,123.18,124.78,122.79,124.35,81918000,,,1.98
17-05-2021,AAPL,123.73,123.84,122.12,123.2,74244600,,,-0.93
18-05-2021,AAPL,123.48,123.9,121.74,121.81,63342900,,,-1.12
19-05-2021,AAPL,120.16,121.88,119.87,121.65,92612000,,,-0.13
20-05-2021,AAPL,122.18,124.61,122.05,124.21,76857100,,,2.1
21-05-2021,AAPL,124.71,124.88,122.16,122.38,79295400,,,-1.48
24-05-2021,AAPL,122.94,124.82,122.87,124.01,63092900,,,1.33
25-05-2021,AAPL,124.71,125.2,123.24,123.81,72009500,,,-0.16
26-05-2021,AAPL,123.87,124.29,123.34,123.76,56575900,,,-0.04
27-05-2021,AAPL,123.36,124.53,122.03,122.23,94625600,124.56,,-1.24
28-05-2021,AAPL,122.51,122.74,121.52,121.58,71311100,124.64,,-0.53
01-06-2021,AAPL,122.03,122.3,120.92,121.25,67637100,124.73,,-0.26
02-06-2021,AAPL,121.25,122.19,121.03,122.01,59278900,124.77,,0.63
03-06-2021,AAPL,121.64,121.81,120.13,120.53,76229200,124.79,,-1.22
04-06-2021,AAPL,121.05,123.09,120.83,122.82,75169300,124.91,,1.9
07-06-2021,AAPL,123.1,123.24,121.79,122.83,71057600,125.01,,0.01
08-06-2021,AAPL,123.52,125.33,123.14,123.65,74403800,125.13,,0.67
09-06-2021,AAPL,124.11,124.64,123.44,124.03,56877900,125.24,,0.31
10-06-2021,AAPL,123.93,125.07,122.87,123.04,71186400,125.37,,-0.8
11-06-2021,AAPL,123.45,124.34,123.03,124.25,53522400,125.47,,0.98
14-06-2021,AAPL,124.71,127.36,123.98,127.3,96906500,125.62,,2.46
15-06-2021,AAPL,126.78,127.42,126.24,126.48,62746300,125.7,,-0.64
16-06-2021,AAPL,127.2,127.7,125.33,126.98,91815000,125.78,,0.39
17-06-2021,AAPL,126.64,129.32,126.49,128.58,96721700,125.86,,1.26
18-06-2021,AAPL,127.53,128.31,127.07,127.28,108953300,125.87,,-1.01
21-06-2021,AAPL,127.13,129.19,126.06,129.08,79663300,125.86,,1.41
22-06-2021,AAPL,128.91,130.82,128.42,130.72,74783600,125.92,,1.27
23-06-2021,AAPL,130.51,131.05,129.99,130.44,60214200,125.91,,-0.21
24-06-2021,AAPL,131.18,131.36,129.69,130.16,68711000,125.94,,-0.22
25-06-2021,AAPL,130.21,130.63,129.58,129.87,70783700,125.91,,-0.22
28-06-2021,AAPL,130.16,131.96,130.1,131.5,62111300,125.93,,1.25
29-06-2021,AAPL,131.52,133.17,131.08,133.01,64556100,125.96,,1.15
30-06-2021,AAPL,132.85,134.06,132.56,133.63,63261400,126.04,,0.46
01-07-2021,AAPL,133.27,133.99,132.45,133.93,52485800,126.12,,0.23
02-07-2021,AAPL,134.54,136.59,134.4,136.55,78852600,126.28,,1.96
06-07-2021,AAPL,136.66,139.66,136.66,138.56,108181800,126.44,,1.47
07-07-2021,AAPL,140.04,141.36,139.19,141.05,104911600,126.63,,1.8
08-07-2021,AAPL,138.13,140.55,137.24,139.75,105575500,126.81,,-0.92
09-07-2021,AAPL,139.27,142.1,139.18,141.58,99890800,127.04,,1.31
12-07-2021,AAPL,142.65,142.76,140.49,140.98,76299700,127.26,,-0.42
13-07-2021,AAPL,140.52,143.87,140.13,142.09,100827100,127.54,,0.79
14-07-2021,AAPL,144.49,145.93,144.08,145.52,127050800,127.87,,2.41
15-07-2021,AAPL,145.61,146.35,143.51,144.86,106820300,128.28,,-0.45
16-07-2021,AAPL,144.85,146.11,142.33,142.83,93251400,128.64,,-1.41
19-07-2021,AAPL,140.25,140.56,138.22,138.98,121434600,128.89,,-2.69
20-07-2021,AAPL,139.97,143.52,139.48,142.59,96350000,129.2,,2.6
21-07-2021,AAPL,141.99,142.57,141.11,141.86,74993500,129.56,,-0.51
22-07-2021,AAPL,142.39,144.59,142.26,143.23,77338200,129.97,,0.96
23-07-2021,AAPL,143.96,145.1,143.34,144.94,71447400,130.47,,1.2
26-07-2021,AAPL,144.66,146.18,144.1,145.36,72434100,130.94,,0.29
27-07-2021,AAPL,145.49,145.58,142.01,143.2,104818600,131.32,,-1.49
28-07-2021,AAPL,141.28,143.39,139.07,141.45,118931200,131.68,,-1.22
29-07-2021,AAPL,141.17,142.98,141.06,142.09,56699500,132.09,,0.46
30-07-2021,AAPL,140.86,142.77,140.6,142.31,70440600,132.5,,0.15
02-08-2021,AAPL,142.8,143.37,141.71,141.98,62880000,132.86,,-0.23
03-08-2021,AAPL,142.26,144.44,141.64,143.77,64786600,133.29,,1.26
04-08-2021,AAPL,143.68,144.19,142.72,143.37,56368300,133.67,,-0.28
05-08-2021,AAPL,143.4,144.24,142.61,143.48,46397700,134.07,,0.07
06-08-2021,AAPL,143,143.74,142.3,142.8,54126800,134.45,,-0.48
09-08-2021,AAPL,142.85,143.34,142.19,142.75,48908700,134.86,,-0.03
10-08-2021,AAPL,143.09,144.33,141.97,142.27,69023100,135.27,,-0.34
11-08-2021,AAPL,142.71,143.36,142.2,142.52,48493500,135.7,,0.18
12-08-2021,AAPL,142.84,145.64,142.5,145.48,72282600,136.17,,2.08
13-08-2021,AAPL,145.56,146.02,144.88,145.69,59375000,136.67,,0.14
16-08-2021,AAPL,145.14,147.73,143.12,147.66,103296000,137.17,,1.35
17-08-2021,AAPL,146.79,148.21,145.68,146.75,92229700,137.64,,-0.62
18-08-2021,AAPL,146.37,147.27,142.8,143.01,86326000,138.03,,-2.55
19-08-2021,AAPL,141.71,144.61,141.19,143.34,86960300,138.42,,0.23
20-08-2021,AAPL,144.07,145.1,143.42,144.8,60549600,138.85,,1.02
23-08-2021,AAPL,144.92,146.75,144.51,146.28,60131800,139.29,,1.03
24-08-2021,AAPL,146.03,147.41,145.74,146.2,48606400,139.67,,-0.06
25-08-2021,AAPL,146.38,146.88,144.42,144.96,58991300,140.04,,-0.84
26-08-2021,AAPL,144.95,145.71,144.13,144.16,48597200,140.39,,-0.55
27-08-2021,AAPL,144.1,145.35,143.47,145.2,55802400,140.72,,0.72
30-08-2021,AAPL,145.59,149.98,145.21,149.62,90956700,141.16,,3.04
31-08-2021,AAPL,149.17,149.3,147.83,148.35,86453100,141.55,,-0.84
01-09-2021,AAPL,149.33,151.43,148.85,149.02,80313700,141.92,,0.45
02-09-2021,AAPL,150.35,151.18,148.91,150.13,71115500,142.31,,0.75
03-09-2021,AAPL,150.24,151.09,149.59,150.77,57808700,142.72,,0.42
07-09-2021,AAPL,151.42,153.66,150.86,153.1,82278300,143.19,,1.55
08-09-2021,AAPL,153.39,153.45,150.46,151.56,74420200,143.59,,-1.01
09-09-2021,AAPL,151.93,152.54,150.43,150.54,57305700,143.94,,-0.67
10-09-2021,AAPL,151.45,151.92,145.3,145.56,140893200,144.18,,-3.31
13-09-2021,AAPL,147.18,147.95,145.35,146.13,102404300,144.42,,0.39
14-09-2021,AAPL,146.91,147.61,143.55,144.73,109296300,144.58,,-0.96
15-09-2021,AAPL,145.16,146.02,143.02,145.62,83281300,144.73,,0.61
16-09-2021,AAPL,145.04,145.56,143.85,145.38,68034100,144.81,,-0.16
17-09-2021,AAPL,145.41,145.41,142.42,142.72,129868800,144.87,,-1.83
20-09-2021,AAPL,140.51,141.52,138.04,139.67,123478900,144.83,,-2.14
21-09-2021,AAPL,140.64,141.29,139.51,140.15,75834000,144.82,,0.34
22-09-2021,AAPL,141.14,143.08,140.41,142.51,76404300,144.82,,1.69
23-09-2021,AAPL,143.29,143.71,142.31,143.47,64838200,144.78,,0.67
24-09-2021,AAPL,142.33,144.09,142.23,143.56,53477900,144.76,,0.06
27-09-2021,AAPL,142.14,142.62,140.53,142.04,74150700,144.74,,-1.05
28-09-2021,AAPL,139.97,141.44,138.45,138.66,108972300,144.74,,-2.38
29-09-2021,AAPL,139.21,141.14,138.78,139.56,74602000,144.68,,0.65
30-09-2021,AAPL,140.37,141.08,138.05,138.26,89056700,144.6,,-0.93
01-10-2021,AAPL,138.65,139.65,135.93,139.38,94639600,144.53,,0.81
04-10-2021,AAPL,138.52,138.96,135.11,135.96,98322000,144.35,,-2.46
05-10-2021,AAPL,136.3,138.98,136.17,137.88,80861100,144.2,,1.42
06-10-2021,AAPL,136.28,138.9,135.2,138.75,83221100,144.11,,0.63
07-10-2021,AAPL,139.79,140.92,139.45,140.01,61732700,144.08,,0.91
08-10-2021,AAPL,140.73,140.88,139.3,139.63,58773200,144.03,,-0.27
11-10-2021,AAPL,139.01,141.5,138.56,139.54,64452200,143.97,,-0.06
12-10-2021,AAPL,139.95,139.97,137.81,138.27,73035900,143.9,,-0.91
13-10-2021,AAPL,138.01,138.16,136.01,137.68,78762700,143.78,,-0.42
14-10-2021,AAPL,138.86,140.59,138.27,140.47,69907100,143.72,,2.02
15-10-2021,AAPL,140.48,141.58,140.23,141.52,67940300,143.68,,0.75
18-10-2021,AAPL,140.17,143.48,139.88,143.2,85589200,143.69,,1.18
